cat,freq,n-grams
problema,30,ainda
problema,30,filho
problema,30,reclamar
policia,30,ter ser
policia,30,viatura
novidades,30,bem
novidades,30,maior
novidades,30,milhoes
novidades,30,morador
novidades,30,ocorrer
novidades,30,viver
esportes,30,domingo
esportes,30,equipe
trabalhador,29,ensino
problema,29,calcada
problema,29,conta
problema,29,frente
problema,29,muito
problema,29,nao ser
policia,29,apontar
policia,29,arma
policia,29,assalto
policia,29,parte
policia,29,principal
policia,29,ver
novidades,29,acompanhar
novidades,29,concurso
novidades,29,levar
novidades,29,nao ser
novidades,29,primeiro
novidades,29,querer
novidades,29,trabalho
esportes,29,br colorar
esportes,29,diariogaucho br colorar
esportes,29,ficar
esportes,29,noite
esportes,29,primeiro
trabalhador,28,agosto
trabalhador,28,candidato
trabalhador,28,cargo
problema,28,area
problema,28,carro
problema,28,dizer
problema,28,mes
policia,28,antes
policia,28,filho
policia,28,jovem
policia,28,ocorrer
policia,28,prisao
policia,28,quarta
novidades,28,afirmar
novidades,28,domingo
novidades,28,gente
novidades,28,menos
novidades,28,nao ter
novidades,28,rede
novidades,28,tempo
novidades,28,trabalhar
novidades,28,ver
novidades,28,vila
esportes,28,dar
esportes,28,depois
esportes,28,dizer
esportes,28,final
esportes,28,nao ser
esportes,28,titulo
trabalhador,27,concurso
trabalhador,27,junho
trabalhador,27,outubro
trabalhador,27,periodo
problema,27,nao ter
problema,27,parte
problema,27,pessoa
problema,27,proximo
problema,27,vir
policia,27,assaltar
policia,27,dar
policia,27,deixar
policia,27,manha
policia,27,nao ter
policia,27,procurar
novidades,27,carro
novidades,27,meio
novidades,27,pequeno
novidades,27,preco
esportes,27,chegar
esportes,27,disputar
esportes,27,marcar
trabalhador,26,oportunidade
problema,26,chegar
problema,26,comunidade
problema,26,depois
problema,26,dever
problema,26,semana
policia,26,alvorar
policia,26,cumprir
policia,26,exemplo
policia,26,frente
policia,26,invadir
policia,26,ir morto
policia,26,manter
policia,26,presidio
novidades,26,apenas
novidades,26,educar
novidades,26,explicar
novidades,26,historia
novidades,26,hoje
novidades,26,jogo
novidades,26,mae
novidades,26,mulher
novidades,26,roberta
novidades,26,roberta schuler
novidades,26,roberta schuler diariogaucho
novidades,26,schuler
novidades,26,schuler diariogaucho
novidades,26,schuler diariogaucho br
novidades,26,show
esportes,26,momento
esportes,26,nao poder
trabalhador,25,projeto
problema,25,EPTC
problema,25,acontecer
problema,25,buraco
problema,25,dono
problema,25,obra
problema,25,receber
problema,25,saber
policia,25,atender
policia,25,escola
policia,25,muito
policia,25,mulher
policia,25,ontem
policia,25,suspeitar
policia,25,usar
novidades,25,aluno
novidades,25,coisa
novidades,25,delegado
novidades,25,empresa
novidades,25,informar
novidades,25,lado
novidades,25,noite
novidades,25,rua
novidades,25,sul
trabalhador,24,mesmo
problema,24,comecar
problema,24,escola
problema,24,limpeza
problema,24,robertaschuler
problema,24,robertaschuler diariogaucho
